ResponseId	Age	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
117	27	1	2	1657	8	7	5	5	18.38	0.02	1.36	3.11	3.91	0	1.01	2.16	0.51	0	0	6.3	2	3	31	16	22	33	1
118	31	1	2	1540	6	4	6	5	27.78	7.56	2.86	2.3	1.97	0.71	0.05	5.81	6.52	0	0	0	7	3	38	13	12	11	1
119	38	1	2	400	10	9	5	9	73.56	10	8.62	7.06	7.92	10	7.2	2.59	6.44	3.17	8.05	2.51	1	0	24	31	29	37	1
120	37	1	2	368	7	8	7	7	11.17	1.42	1.75	1.44	1.42	0	1.63	1.15	0.41	1.07	0.88	0	7	3	30	25	28	33	1
121	35	1	2	1818	3	2	5	6	76.53	10	5.88	7.47	8.02	7.35	9.14	5.68	7.86	2.02	5.23	7.88	6	3	29	20	22	30	1
122	46	2	2	283	4	4	4	4	34.07	7.53	0.97	0.99	9.16	1.26	0.93	6.63	6.17	0.12	0.1	0.21	7	2	34	9	22	35	1
124	32	2	2	422	8	7	8	7	12.89	2.2	0.58	2.2	2.37	0.91	1.11	0.37	1.87	0	0	1.28	6	3	30	15	15	25	1
125	48	2	2	643	8	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	6	2	34	11	22	16	1
126	29	2	2	669	3	4	7	6	69.87	8.25	9.38	8.97	10	2.04	7.41	6.95	8.83	0.16	6.75	1.13	3	3	32	16	19	24	1
127	41	1	2	640	9	9	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6	2	33	17	29	31	1
128	44	2	2	369	7	5	7	7	11.44	0.29	0	0.19	2.88	0.06	0	2.84	5.1	0	0	0.08	4	3	27	21	20	24	1
129	28	2	2	369	8	9	8	8	70.09	8.85	6.89	7.43	4.44	6.48	6.95	2.55	7.08	7.1	6.13	6.19	1	0	25	29	27	37	1
132	46	2	2	484	5	4	7	7	72.84	6.5	7.41	7.72	7.06	5.11	6.95	5.11	7.24	6.52	6.21	7.01	4	1	33	18	26	22	1
133	31	2	2	799	7	8	9	9	55	3.46	5.8	2.43	7.12	1.48	3.66	7.76	6.28	9.22	6.19	1.6	3	3	33	23	32	32	1
134	32	1	2	458	6	3	7	7	39.05	10	3.27	2.26	4.24	1.38	6.21	2.04	2.49	0	0	7.16	6	3	40	18	14	30	1
